('t', 'journal'): [0]
('shaw', 'washington'): [0]
('washington', 'alexander'): [0]
('alexander', 'dorgan'): [0]
('dorgan', 'nd'): [0]
('nd', 'sd'): [0]
('sd', 'pelosi'): [0]
('pelosi', 'shays'): [0]
('shays', 'waxman'): [0]
('waxman', 'energy'): [0]
('energy', 'allard'): [0]
('allard', 'downey'): [0]
('downey', 'johnston'): [0]
('johnston', 'penny'): [0]
('penny', 'shuster'): [0]
('shuster', 'weber'): [0]
('weber', 'sub'): [0]
('sub', 'anderson'): [0]
('anderson', 'dreier'): [0]
('dreier', 'jones'): [0]
('jones', 'peterson'): [0]
('peterson', 'fl'): [0]
('fl', 'sikorski'): [0]
('sikorski', 'weiss'): [0]
('weiss', 're'): [0]
('re', 'andrews'): [0]
('andrews', 'me'): [0]
('me', 'durbin'): [0]
('durbin', 'kanjorski'): [0]
('kanjorski', 'mn'): [0]
('mn', 'sisisky'): [0]
('sisisky', 'weldon'): [0]
('weldon', 'duce'): [0]
('duce', 'nuclear'): [0]
('nuclear', 'proliferation'): [0]
('proliferation', 'threat'): [0]
('threat', 'carried'): [0]
('carried', 'tx'): [0]
('tx', 'dwyer'): [0]
('dwyer', 'kaptur'): [0]
('kaptur', 'pickle'): [0]
('pickle', 'skaggs'): [0]
('skaggs', 'wheat'): [0]
('wheat', 'set'): [0]
('set', 'annunzio'): [0]
('annunzio', 'dymally'): [0]
('dymally', 'kasich'): [0]
('kasich', 'porter'): [0]
('porter', 'skeen'): [0]
('skeen', 'whitten'): [0]
('whitten', 'archer'): [0]
('archer', 'early'): [0]
('early', 'kennedy'): [0]
('kennedy', 'price'): [0]
('price', 'skelton'): [0]
('skelton', 'williams'): [0]
('williams', 'forth'): [0]
('forth', 'following'): [0]
('following', 'aspin'): [0]
('aspin', 'eckart'): [0]
('eckart', 'kennelly'): [0]
('kennelly', 'amounts'): [0]
('amounts', 'spent'): [0]
('spent', 'pursell'): [0]
('pursell', 'slattery'): [0]
('slattery', 'wilson'): [0]
('wilson', 'atkins'): [0]
('atkins', 'edwards'): [0]
('edwards', 'ca'): [0]
('ca', 'kildee'): [0]
('kildee', 'ramstad'): [0]
('ramstad', 'slaughter'): [0]
('slaughter', 'wise'): [0]
('wise', 'aucoin'): [0]
('aucoin', 'ok'): [0]
('ok', 'kleczka'): [0]
('kleczka', 'rangel'): [0]
('rangel', 'smith'): [0]
('smith', 'wolf'): [0]
('wolf', 'description'): [0]
('description', 'participation'): [0]
('participation', 'bacchus'): [0]
('bacchus', 'emerson'): [0]
('emerson', 'klug'): [0]
('klug', 'ravenel'): [0]
('ravenel', 'ia'): [0]
('ia', 'wolpe'): [0]
('wolpe', 'department'): [0]
('department', 'partici'): [0]
('partici', 'baker'): [0]
('baker', 'english'): [0]
('english', 'kolbe'): [0]
('kolbe', 'reed'): [0]
('reed', 'wyden'): [0]
('wyden', 'pation'): [0]
('pation', 'government'): [0]
('government', 'agencies'): [0]
('agencies', 'ballenger'): [0]
('ballenger', 'erdreich'): [0]
('erdreich', 'kopetski'): [0]
('kopetski', 'regula'): [0]
('regula', 'yates'): [0]
('yates', 'barnard'): [0]
('barnard', 'espy'): [0]
('espy', 'kostmayer'): [0]
('kostmayer', 'rhodes'): [0]
('rhodes', 'snowe'): [0]
('snowe', 'yatron'): [0]
('yatron', 'barrett'): [0]
('barrett', 'evans'): [0]
('evans', 'kyl'): [0]
('kyl', 'richardson'): [0]
('richardson', 'solarz'): [0]
('solarz', 'young'): [0]
('young', 'barton'): [0]
('barton', 'fascell'): [0]
('fascell', 'lafalce'): [0]
('lafalce', 'ridge'): [0]
('ridge', 'spence'): [0]
('spence', 'zimmer'): [0]
('zimmer', 'bateman'): [0]
('bateman', 'fawell'): [0]
('fawell', 'lagomarsino'): [0]
('lagomarsino', 'riggs'): [0]
('riggs', 'spratt'): [0]
('spratt', 'receive'): [0]
('receive', 'beilenson'): [0]
('beilenson', 'fazio'): [0]
('fazio', 'lancaster'): [0]
('lancaster', 'referred'): [0]
('referred', 'bennett'): [0]
('bennett', 'fields'): [0]
('fields', 'lantos'): [0]
('lantos', 'noes'): [0]
('noes', 'sections'): [0]
('sections', 'are'): [0]
('are', 'bentley'): [0]
('bentley', 'fish'): [0]
('fish', 'larocco'): [0]
('larocco', 'allen'): [0]
('allen', 'gaydos'): [0]
('gaydos', 'ray'): [0]
('ray', 'committee'): [0]
('committee', 'armed'): [0]
('armed', 'services'): [0]
('services', 'bereuter'): [0]
('bereuter', 'flake'): [0]
('flake', 'laughlin'): [0]
('laughlin', 'gekas'): [0]
('gekas', 'roemer'): [0]
('roemer', 'foreign'): [0]
('foreign', 'affairs'): [0]
('affairs', 'com'): [0]
('com', 'berman'): [0]
('berman', 'foglietta'): [0]
('foglietta', 'leach'): [0]
('leach', 'applegate'): [0]
('applegate', 'hall'): [0]
('hall', 'rogers'): [0]
('rogers', 'bevill'): [0]
('bevill', 'ford'): [0]
('ford', 'mi'): [0]
('mi', 'lehman'): [0]
('lehman', 'mittee'): [0]
('mittee', 'commerce'): [0]
('commerce', 'armey'): [0]
('armey', 'hammerschmidt'): [0]
('hammerschmidt', 'roth'): [0]
('roth', 'bilbray'): [0]
('bilbray', 'tn'): [0]
('tn', 'lent'): [0]
('lent', 'bilirakis'): [0]
('bilirakis', 'hancock'): [0]
('hancock', 'house'): [0]
('house', 'representatives'): [0]
('representatives', 'schaefer'): [0]
('schaefer', 'blackwell'): [0]
('blackwell', 'frank'): [0]
('frank', 'levin'): [0]
('levin', 'bliley'): [0]
('bliley', 'holloway'): [0]
('holloway', 'sensenbrenner'): [0]
('sensenbrenner', 'boehlert'): [0]
('boehlert', 'frost'): [0]
('frost', 'lewis'): [0]
('lewis', 'brewster'): [0]
('brewster', 'hopkins'): [0]
('hopkins', 'relations'): [0]
('relations', 'or'): [0]
('or', 'boehner'): [0]
('boehner', 'gallegly'): [0]
('gallegly', 'burton'): [0]
('burton', 'inhofe'): [0]
('inhofe', 'solomon'): [0]
('solomon', 'bonior'): [0]
('bonior', 'gallo'): [0]
('gallo', 'coble'): [0]
('coble', 'stump'): [0]
('stump', 'sec'): [0]
('sec', 'soviet'): [0]
('soviet', 'weapons'): [0]
('weapons', 'destruction'): [0]
('destruction', 'borski'): [0]
('borski', 'gejdenson'): [0]
('gejdenson', 'lightfoot'): [0]
('lightfoot', 'collins'): [0]
('collins', 'jontz'): [0]
('jontz', 'boucher'): [0]
('boucher', 'gephardt'): [0]
('gephardt', 'lipinski'): [0]
('lipinski', 'combest'): [0]
('combest', 'kolter'): [0]
('kolter', 'findings'): [0]
('findings', 'finds'): [0]
('finds', 'traficant'): [0]
('traficant', 'boxer'): [0]
('boxer', 'geren'): [0]
('geren', 'livingston'): [0]
('livingston', 'cox'): [0]
('cox', 'moorhead'): [0]
('moorhead', 'programs'): [0]
('programs', 'established'): [0]
('established', 'so'): [0]
('so', 'valentine'): [0]
('valentine', 'brooks'): [0]
('brooks', 'gilchrest'): [0]
('gilchrest', 'lloyd'): [0]
('lloyd', 'delay'): [0]
('delay', 'murphy'): [0]
('murphy', 'viet'): [0]
('viet', 'reduction'): [0]
('reduction', 'volkmer'): [0]
('volkmer', 'broomfield'): [0]
('broomfield', 'gillmor'): [0]
('gillmor', 'long'): [0]
('long', 'doolittle'): [0]
('doolittle', 'perkins'): [0]
('perkins', 'walker'): [0]
('walker', 'contrib'): [0]
('contrib', 'browder'): [0]
('browder', 'gilman'): [0]
('gilman', 'lowery'): [0]
('lowery', 'dornan'): [0]
('dornan', 'petri'): [0]
('petri', 'walsh'): [0]
('walsh', 'ute'): [0]
('ute', 'significantly'): [0]
('significantly', 'weap'): [0]
('weap', 'brown'): [0]
('brown', 'gingrich'): [0]
('gingrich', 'lowey'): [0]
('lowey', 'ny'): [0]
('ny', 'duncan'): [0]
('duncan', 'poshard'): [0]
('poshard', 'waters'): [0]
('waters', 'ons'): [0]
('ons', 'mass'): [0]
('mass', 'states'): [0]
('states', 'bryant'): [0]
('bryant', 'glickman'): [0]
('glickman', 'luken'): [0]
('luken', 'ewing'): [0]
('ewing', 'quillen'): [0]
('quillen', 'ak'): [0]
('ak', 'former'): [0]
('former', 'union'): [0]
('union', 'bunning'): [0]
('bunning', 'gonzalez'): [0]
('gonzalez', 'machtley'): [0]
('machtley', 'franks'): [0]
('franks', 'rahall'): [0]
('rahall', 'zeliff'): [0]
('zeliff', 'byron'): [0]
('byron', 'goodling'): [0]
('goodling', 'manton'): [0]
('manton', 'potential'): [0]
('potential', 'callahan'): [0]
('callahan', 'gordon'): [0]
('gordon', 'markey'): [0]
('markey', 'voting'): [0]
('voting', 'camp'): [0]
('camp', 'goss'): [0]
('goss', 'marlenee'): [0]
('marlenee', 'national'): [0]
('national', 'security'): [0]
('security', 'inter'): [0]
('inter', 'ackerman'): [0]
('ackerman', 'feighan'): [0]
('feighan', 'olin'): [0]
('olin', 'campbell'): [0]
('campbell', 'co'): [0]
('co', 'gradison'): [0]
('gradison', 'martin'): [0]
('martin', 'anthony'): [0]
('anthony', 'gibbons'): [0]
('gibbons', 'ests'): [0]
('ests', 'united'): [0]
('united', 'continue'): [0]
('continue', 'cardin'): [0]
('cardin', 'grandy'): [0]
('grandy', 'martinez'): [0]
('martinez', 'bruce'): [0]
('bruce', 'hefner'): [0]
('hefner', 'pickett'): [0]
('pickett', 'threats'): [0]
('threats', 'huge'): [0]
('huge', 'ar'): [0]
('ar', 'carper'): [0]
('carper', 'green'): [0]
('green', 'matsui'): [0]
('matsui', 'bustamante'): [0]
('bustamante', 'hubbard'): [0]
('hubbard', 'rinaldo'): [0]
('rinaldo', 'senals'): [0]
('senals', 'carr'): [0]
('carr', 'guarini'): [0]
('guarini', 'mavroules'): [0]
('mavroules', 'tallon'): [0]
('tallon', 'tect'): [0]
('tect', 'chandler'): [0]
('chandler', 'gunderson'): [0]
('gunderson', 'mazzoli'): [0]
('mazzoli', 'dannemeyer'): [0]
('dannemeyer', 'chapman'): [0]
('chapman', 'oh'): [0]
('oh', 'mccandless'): [0]
('mccandless', 'materials'): [0]
('materials', 'removed'): [0]
('removed', 'clay'): [0]
('clay', 'hamilton'): [0]
('hamilton', 'mccloskey'): [0]
('mccloskey', 'levine'): [0]
('levine', 'traxler'): [0]
('traxler', 'well'): [0]
('well', 'hazards'): [0]
('hazards', 'engel'): [0]
('engel', 'nowak'): [0]
('nowak', 'wylie'): [0]
('wylie', 'clement'): [0]
('clement', 'hansen'): [0]
('hansen', 'mccollum'): [0]
('mccollum', 'resulting'): [0]
('resulting', 'faulty'): [0]
('faulty', 'storage'): [0]
('storage', 'clinger'): [0]
('clinger', 'harris'): [0]
('harris', 'mccrery'): [0]
('mccrery', 'amendment'): [0]
('amendment', 'modified'): [0]
('modified', 'coleman'): [0]
('coleman', 'mo'): [0]
('mo', 'hastert'): [0]
('hastert', 'mccurdy'): [0]
('mccurdy', 'hatcher'): [0]
('hatcher', 'mcdade'): [0]
('mcdade', 'agreed'): [0]
('agreed', 'safety'): [0]
('safety', 'described'): [0]
('described', 'il'): [0]
('il', 'hayes'): [0]
('hayes', 'mcdermott'): [0]
('mcdermott', 'after'): [0]
('after', 'time'): [0]
('time', 'condit'): [0]
('condit', 'la'): [0]
('la', 'mcewen'): [0]
('mcewen', 'conyers'): [0]
('conyers', 'hefley'): [0]
('hefley', 'mcgrath'): [0]
('mcgrath', 'call'): [0]
('call', 'in'): [0]
('in', 'cooper'): [0]
('cooper', 'henry'): [0]
('henry', 'mchugh'): [0]
('mchugh', 'remain'): [0]
('remain', 'urgent'): [0]
('urgent', 'concern'): [0]
('concern', 'additional'): [0]
('additional', 'costello'): [0]
('costello', 'herger'): [0]
('herger', 'mcmillan'): [0]
('mcmillan', 'mr'): [0]
('mr', 'illinois'): [0]
('illinois', 'acting'): [0]
('acting', 'chair'): [0]
('chair', 'resources'): [0]
('resources', 'necessary'): [0]
('necessary', 'meet'): [0]
('meet', 'coughlin'): [0]
('coughlin', 'hertel'): [0]
('hertel', 'mcmillen'): [0]
('mcmillen', 'md'): [0]
('md', 'man'): [0]
('man', 'announced'): [0]
('announced', 'particularly'): [0]
('particularly', 'areas'): [0]
('areas', 'safe'): [0]
('safe', 'hoagland'): [0]
('hoagland', 'mcnulty'): [0]
('mcnulty', 'consideration'): [0]
('consideration', 'said'): [0]
('said', 'secure'): [0]
('secure', 'fissile'): [0]
('fissile', 'material'): [0]
('material', 'dis'): [0]
('dis', 'coyne'): [0]
('coyne', 'hobson'): [0]
('hobson', 'meyers'): [0]
('meyers', 'cramer'): [0]
('cramer', 'hochbrueckner'): [0]
('hochbrueckner', 'mfume'): [0]
('mfume', 'bill'): [0]
('bill', 'finding'): [0]
('finding', 'without'): [0]
('without', 'quorum'): [0]
('quorum', 'mantlement'): [0]
('mantlement', 'missiles'): [0]
('missiles', 'launchers'): [0]
('launchers', 'crane'): [0]
('crane', 'horn'): [0]
('horn', 'michel'): [0]
('michel', 'directed'): [0]
('directed', 'members'): [0]
('members', 'record'): [0]
('record', 'chemical'): [0]
('chemical', 'funding'): [0]
('funding', 'cunningham'): [0]
('cunningham', 'horton'): [0]
('horton', 'miller'): [0]
('miller', 'presence'): [0]
('presence', 'electronic'): [0]
('electronic', 'device'): [0]
('device', 'darden'): [0]
('darden', 'houghton'): [0]
('houghton', 'followingnamed'): [0]
('followingnamed', 'responded'): [0]
('responded', 'davis'): [0]
('davis', 'hoyer'): [0]
('hoyer', 'wa'): [0]
('wa', 'de'): [0]
('de', 'garza'): [0]
('garza', 'huckaby'): [0]
('huckaby', 'mineta'): [0]
('mineta', 'defazio'): [0]
('defazio', 'hughes'): [0]
('hughes', 'mink'): [0]
('mink', 'delauro'): [0]
('delauro', 'hunter'): [0]
('hunter', 'moakley'): [0]
('moakley', 'dellums'): [0]
('dellums', 'hutto'): [0]
('hutto', 'molinari'): [0]
('molinari', 'derrick'): [0]
('derrick', 'hyde'): [0]
('hyde', 'mollohan'): [0]
('mollohan', 'dickinson'): [0]
('dickinson', 'ireland'): [0]
('ireland', 'montgomery'): [0]
('montgomery', 'fis'): [0]
('fis', 'dicks'): [0]
('dicks', 'jacobs'): [0]
('jacobs', 'moody'): [0]
('moody', 'cal'): [0]
('cal', 'dingell'): [0]
('dingell', 'james'): [0]
('james', 'moran'): [0]
('moran', 'dixon'): [0]
('dixon', 'jefferson'): [0]
('jefferson', 'morella'): [0]
('morella', 'donnelly'): [0]
('donnelly', 'jenkins'): [0]
('jenkins', 'morrison'): [0]
('morrison', 'utah'): []
('utah', 'gis'): [2]
('gis', 'portal'): [2]
('portal', 'indeedcom'): [2]
('indeedcom', 'index'): [2]
('index', 'jobs'): [2]
('jobs', 'contributed'): [2]
('contributed', 'agrc'): [2]
('agrc', 'administrator'): [2]
('administrator', 'jan'): [2]
('jan', 'last'): [2]
('last', 'updated'): [2]
('updated', 'feb'): [2]
('feb', 'several'): [2]
('several', 'online'): [2]
('online', 'job'): [2]
('job', 'postings'): [2]
('postings', 'here'): [2]
('here', 'link'): [2]
('link', 'site'): [2]
('site', 'using'): [2]
('using', 'query'): [2]
('query', 'combines'): [2]
('combines', 'location'): [2]
('location', 'and'): [2]
('and', 'contains'): []
('contains', 'geographic'): [2]
('geographic', 'map'): [2]
('map', 'survey'): [2]
('survey', 'esri'): [2]
('esri', 'arcmap'): [2]
('arcmap', 'gps'): [2]
('gps', 'http'): [2]
('http', 'gisutahgov'): [2]
('gisutahgov', 'powered'): [2]
('powered', 'joomla'): [2]
('joomla', 'generated'): [2]
('generated', 'april'): [2]
('april', 'executive'): []
('executive', 'office'): [3, 4]
('office', 'president'): []
('president', 'council'): [3]
('council', 'economic'): [3]
('economic', 'advisers'): [3]
('advisers', 'dc'): []
('dc', 'this'): [3]
('this', 'memo'): []
('memo', 'describes'): [3]
('describes', 'likely'): [3]
('likely', 'impacts'): [3]
('impacts', 'local'): [3]
('local', 'economy'): [3]
('economy', 'purchase'): [3]
('purchase', 'modification'): [3]
('modification', 'state'): [3]
('state', 'prison'): [3]
('prison', 'thomson'): [3]
('thomson', 'subsequent'): []
('subsequent', 'use'): [3]
('use', 'dod'): []
('dod', 'bureau'): [3]
('bureau', 'prisons'): [3]
('prisons', 'bop'): [3]
('bop', 'federal'): [3]
('federal', 'facility'): [3]
('facility', 'assumes'): [3]
('assumes', 'occupies'): [3]
('occupies', 'remaining'): [3]
('remaining', 'primary'): [3]
('primary', 'estimates'): [3]
('estimates', 'total'): [3]
('total', 'increase'): [3]
('increase', 'expenditures'): [3]
('expenditures', 'area'): [3]
('area', 'first'): [3]
('first', 'four'): [3]
('four', 'operation'): []
('operation', 'construction'): [3]
('construction', 'costs'): [3]
('costs', 'compensation'): [3]
('compensation', 'visitors'): [3]
('visitors', 'billion'): [3]
('billion', 'opening'): []
('opening', 'running'): [3]
('running', 'generate'): [3]
('generate', 'sevencounty'): []
('sevencounty', 'residents'): [3]
('residents', 'excellent'): [3]
('excellent', 'candidates'): [3]
('candidates', 'filled'): [3]
('filled', 'people'): [3]
('people', 'relocating'): [3]
('relocating', 'earnings'): [3]
('earnings', 'million'): [3]
('million', 'second'): [3]
('second', 'by'): [3]
('by', 'third'): [3]
('third', 'fully'): [3]
('fully', 'operational'): [3]
('operational', 'ongoing'): [3]
('ongoing', 'relative'): []
('relative', 'current'): [3]
('current', 'levels'): [3]
('levels', 'employment'): [3]
('employment', 'reflects'): [3]
('reflects', 'created'): [3]
('created', 'yearly'): [3]
('yearly', 'capital'): [3]
('capital', 'improvements'): [3]
('improvements', 'direct'): [3]
('direct', 'hires'): [3]
('hires', 'indirect'): [3]
('indirect', 'due'): [3]
('due', 'increased'): [3]
('increased', 'fourth'): []
('fourth', 'addition'): [3]
('addition', 'startup'): [3]
('startup', 'occur'): [3]
('occur', 'onetime'): []
('onetime', 'substantial'): [3]
('substantial', 'number'): [3]
('number', 'yearlong'): [3]
('yearlong', 'over'): [3]
('over', 'temporary'): [3]
('temporary', 'eventual'): [3]
('eventual', 'expected'): [3]
('expected', 'cumulative'): [3]
('cumulative', 'approximately'): [3]
('approximately', 'held'): [3]
('held', 'residing'): [3]
('residing', 'iowa'): [3]
('iowa', 'fill'): [3]
('fill', 'these'): [3]
('these', 'could'): [3]
('could', 'reduce'): [3]
('reduce', 'unemployment'): [3]
('unemployment', 'rate'): [3]
('rate', 'carroll'): [3]
('carroll', 'county'): [3]
('county', 'located'): [3]
('located', 'percentage'): [3]
('percentage', 'points'): [3]
('points', 'remainder'): [3]
('remainder', 'provides'): [3]
('provides', 'background'): [3]
('background', 'explains'): [3]
('explains', 'i'): [3]
('i', 'consists'): [3]
('consists', 'seven'): [3]
('seven', 'counties'): [3]
('counties', 'major'): [3]
('major', 'population'): [3]
('population', 'centers'): [3]
('centers', 'within'): [3]
('within', 'little'): [3]
('little', 'one'): [3]
('one', 'hour'): [3]
('hour', 'drive'): [3, 9]
('drive', 'also'): [3]
('also', 'included'): [3]
('included', 'whiteside'): [3]
('whiteside', 'jo'): [3]
('jo', 'daviess'): [3]
('daviess', 'lee'): [3]
('lee', 'rock'): [3]
('rock', 'island'): [3]
('island', 'particular'): [3]
('particular', 'relatively'): [3]
('relatively', 'large'): [3]
('large', 'military'): [3]
('military', 'installation'): [3]
('installation', 'spillover'): [3]
('spillover', 'effects'): [3]
('effects', 'includes'): [3]
('includes', 'clinton'): [3]
('clinton', 'jackson'): [3]
('jackson', 'cities'): [3]
('cities', 'nearby'): [3]
('nearby', 'economies'): [3]
('economies', 'distressed'): [3]
('distressed', 'september'): [3]
('september', 'comparable'): [3]
('comparable', 'rates'): [3]
('rates', 'respectively'): [3]
('respectively', 'modest'): [3]
('modest', 'earlier'): [3]
('earlier', 'fraction'): [3]
('fraction', 'adults'): [3]
('adults', 'college'): [3]
('college', 'degree'): [3]
('degree', 'onehalf'): [3]
('onehalf', 'poses'): []
('poses', 'challenge'): [3]
('challenge', 'today'): [3]
('today', 'increasingly'): [3]
('increasingly', 'requires'): [3]
('requires', 'higher'): [3]
('higher', 'education'): [3]
('education', 'good'): [3]
('good', 'appear'): [3]
('appear', 'economically'): []
('economically', 'for'): [3]
('for', 'example'): [3]
('example', 'nonetheless'): [3]
('nonetheless', 'per'): [3]
('per', 'capita'): [3]
('capita', 'income'): [3]
('income', 'latest'): [3]
('latest', 'data'): [3]
('data', 'average'): [3]
('average', 'capacity'): [3]
('capacity', 'absorb'): [3]
('absorb', 'new'): [3]
('new', 'roughly'): [3]
('roughly', 'bls'): [3]
('bls', 'currently'): [3]
('currently', 'unemployed'): [3]
('unemployed', 'industrial'): [3]
('industrial', 'buildings'): [3]
('buildings', 'building'): [3]
('building', 'sites'): [3]
('sites', 'retail'): [3]
('retail', 'commercial'): [3]
('commercial', 'sale'): [3]
('sale', 'least'): [3]
('least', 'hotels'): [3]
('hotels', 'motels'): [3]
('motels', 'like'): [3]
('like', 'beds'): [3]
('beds', 'we'): [3]
('we', 'estimate'): [3]
('estimate', 'nearly'): [3]
('nearly', 'six'): [3]
('six', 'as'): [3]
('as', 'mentioned'): [3]
('mentioned', 'commuting'): [3]
('commuting', 'times'): [3]
('times', 'largest'): [3]
('largest', 'range'): [3]
('range', 'minutes'): [3]
('minutes', 'thus'): [3]
('thus', 'willing'): [3]
('willing', 'work'): [3]
('work', 'environs'): [3]
('environs', 'immediate'): []
('immediate', 'effect'): [3]
('effect', 'expects'): [3]
('expects', 'occupy'): [3]
('occupy', 'essence'): [3]
('essence', 'operate'): [3]
('operate', 'two'): [3]
('two', 'entirely'): [3]
('entirely', 'separate'): [3]
('separate', 'facilities'): [3]
('facilities', 'side'): [3]
('side', 'come'): [3]
('come', 'statistics'): [3]
('statistics', 'statistic'): []
('statistic', 'census'): [3]
('census', 'american'): [3]
('american', 'community'): [3]
('community', 'information'): [3]
('information', 'development'): [3]
('development', 'corporation'): [3]
('corporation', 'website'): [3]
('website', 'wwwcarrollcountyedcorgindexphp'): []
('wwwcarrollcountyedcorgindexphp', 'modulecdc'): [3]
('modulecdc', 'ffopview'): [3]
('ffopview', 'mmnposition'): [3]
('mmnposition', 'wwwgocarrollcountycomlodginghtml'): [3]
('wwwgocarrollcountycomlodginghtml', 'used'): [3]
('used', 'google'): [3]
('google', 'maps'): [3]
('maps', 'driving'): [3]
('driving', 'tourism'): []
